data_src, model, feature, duration, train_acc, train_auc, test_acc, test_auc, valid_acc, valid_auc
       lol, gbdt_ntree150_lr0.05_md10_msl1, champion_one_team_sparse, 186.33, 0.69496, 0.77676, 0.53733, 0.54870, 0.53244, 0.54527
       lol, gbdt_ntree150_lr0.02_md10_msl1, champion_one_team_sparse, 197.67, 0.63455, 0.70046, 0.53702, 0.54748, 0.53242, 0.54439
       lol, gbdt_ntree150_lr0.01_md10_msl1, champion_one_team_sparse, 200.33, 0.59672, 0.65121, 0.53381, 0.54557, 0.52923, 0.54031
       lol, gbdt_ntree150_lr0.1_md3_msl3, champion_one_team_sparse, 31.33, 0.55460, 0.58016, 0.54332, 0.55812, 0.53794, 0.55421
       lol, gbdt_ntree150_lr0.05_md3_msl3, champion_one_team_sparse, 32.67, 0.54729, 0.56845, 0.53935, 0.55354, 0.53664, 0.54966
       lol, gbdt_ntree150_lr0.02_md3_msl3, champion_one_team_sparse, 33.67, 0.53485, 0.55396, 0.53264, 0.54615, 0.53059, 0.54237
       lol, gbdt_ntree150_lr0.01_md3_msl3, champion_one_team_sparse, 32.67, 0.52836, 0.54446, 0.52888, 0.53887, 0.52637, 0.53662
       lol, gbdt_ntree150_lr0.1_md6_msl3, champion_one_team_sparse, 72.00, 0.60829, 0.65815, 0.54036, 0.55515, 0.53680, 0.55163
       lol, gbdt_ntree150_lr0.05_md6_msl3, champion_one_team_sparse, 75.67, 0.58520, 0.62649, 0.54091, 0.55568, 0.53560, 0.55009
       lol, gbdt_ntree150_lr0.02_md6_msl3, champion_one_team_sparse, 75.67, 0.56234, 0.59405, 0.53637, 0.54987, 0.53396, 0.54637
       lol, gbdt_ntree150_lr0.01_md6_msl3, champion_one_team_sparse, 78.00, 0.54647, 0.57367, 0.53181, 0.54488, 0.52920, 0.54062
       lol, gbdt_ntree150_lr0.1_md10_msl3, champion_one_team_sparse, 175.33, 0.72983, 0.81466, 0.53484, 0.54716, 0.53208, 0.54452
       lol, gbdt_ntree150_lr0.05_md10_msl3, champion_one_team_sparse, 173.33, 0.67576, 0.75027, 0.53828, 0.54982, 0.53166, 0.54484
       lol, gbdt_ntree150_lr0.02_md10_msl3, champion_one_team_sparse, 185.00, 0.62106, 0.68038, 0.53687, 0.54936, 0.53263, 0.54440
       lol, gbdt_ntree150_lr0.01_md10_msl3, champion_one_team_sparse, 195.67, 0.58925, 0.63892, 0.53222, 0.54469, 0.52945, 0.54070
       lol, gbdt_ntree150_lr0.1_md3_msl5, champion_one_team_sparse, 32.00, 0.55460, 0.57986, 0.54334, 0.55712, 0.53914, 0.55471
       lol, gbdt_ntree150_lr0.05_md3_msl5, champion_one_team_sparse, 32.67, 0.54687, 0.56839, 0.54007, 0.55339, 0.53755, 0.55046
       lol, gbdt_ntree150_lr0.02_md3_msl5, champion_one_team_sparse, 32.00, 0.53472, 0.55396, 0.53288, 0.54620, 0.53054, 0.54233
       lol, gbdt_ntree150_lr0.01_md3_msl5, champion_one_team_sparse, 33.00, 0.52823, 0.54407, 0.52885, 0.53826, 0.52600, 0.53656
       lol, gbdt_ntree150_lr0.1_md6_msl5, champion_one_team_sparse, 72.33, 0.60314, 0.65102, 0.54018, 0.55469, 0.53643, 0.55042
       lol, gbdt_ntree150_lr0.05_md6_msl5, champion_one_team_sparse, 75.67, 0.58233, 0.62181, 0.54125, 0.55511, 0.53573, 0.55089
       lol, gbdt_ntree150_lr0.02_md6_msl5, champion_one_team_sparse, 76.33, 0.56021, 0.59114, 0.53637, 0.55026, 0.53482, 0.54632
       lol, gbdt_ntree150_lr0.01_md6_msl5, champion_one_team_sparse, 76.67, 0.54586, 0.57212, 0.53319, 0.54496, 0.52931, 0.54136
       lol, gbdt_ntree150_lr0.1_md10_msl5, champion_one_team_sparse, 172.33, 0.70881, 0.78921, 0.53514, 0.54784, 0.53309, 0.54407
       lol, gbdt_ntree150_lr0.05_md10_msl5, champion_one_team_sparse, 170.00, 0.66011, 0.72968, 0.53893, 0.55061, 0.53184, 0.54508
       lol, gbdt_ntree150_lr0.02_md10_msl5, champion_one_team_sparse, 175.33, 0.61193, 0.66727, 0.53741, 0.54938, 0.53213, 0.54425
       lol, gbdt_ntree150_lr0.01_md10_msl5, champion_one_team_sparse, 173.67, 0.58243, 0.62783, 0.53304, 0.54595, 0.52903, 0.54028
       lol, gbdt_ntree150_lr0.1_md3_msl10, champion_one_team_sparse, 30.00, 0.55467, 0.57937, 0.54264, 0.55724, 0.53816, 0.55409
       lol, gbdt_ntree150_lr0.05_md3_msl10, champion_one_team_sparse, 30.00, 0.54643, 0.56774, 0.54055, 0.55277, 0.53693, 0.54974
       lol, gbdt_ntree150_lr0.02_md3_msl10, champion_one_team_sparse, 29.67, 0.53421, 0.55376, 0.53199, 0.54550, 0.52973, 0.54232
       lol, gbdt_ntree150_lr0.01_md3_msl10, champion_one_team_sparse, 30.33, 0.52824, 0.54429, 0.52867, 0.53875, 0.52639, 0.53697
       lol, gbdt_ntree150_lr0.1_md6_msl10, champion_one_team_sparse, 68.00, 0.59649, 0.64086, 0.54251, 0.55581, 0.53776, 0.55289
       lol, gbdt_ntree150_lr0.05_md6_msl10, champion_one_team_sparse, 67.33, 0.57820, 0.61526, 0.54329, 0.55623, 0.53579, 0.55029
       lol, gbdt_ntree150_lr0.02_md6_msl10, champion_one_team_sparse, 66.00, 0.55835, 0.58761, 0.53546, 0.55005, 0.53276, 0.54616
       lol, gbdt_ntree150_lr0.01_md6_msl10, champion_one_team_sparse, 71.33, 0.54404, 0.56965, 0.53157, 0.54464, 0.52934, 0.54125
       lol, gbdt_ntree150_lr0.1_md10_msl10, champion_one_team_sparse, 151.00, 0.68195, 0.75366, 0.53656, 0.54982, 0.53490, 0.54627
       lol, gbdt_ntree150_lr0.05_md10_msl10, champion_one_team_sparse, 156.33, 0.64017, 0.70167, 0.53966, 0.55195, 0.53448, 0.54859
       lol, gbdt_ntree150_lr0.02_md10_msl10, champion_one_team_sparse, 162.67, 0.59963, 0.64847, 0.53789, 0.54993, 0.53557, 0.54734
       lol, gbdt_ntree150_lr0.01_md10_msl10, champion_one_team_sparse, 172.00, 0.57534, 0.61571, 0.53298, 0.54555, 0.53103, 0.54356
       lol, gbdt_ntree200_lr0.1_md3_msl1, champion_one_team_sparse, 46.33, 0.55918, 0.58604, 0.54543, 0.55918, 0.53873, 0.55519
       lol, gbdt_ntree200_lr0.05_md3_msl1, champion_one_team_sparse, 41.00, 0.55028, 0.57332, 0.54117, 0.55557, 0.53800, 0.55171
       lol, gbdt_ntree200_lr0.02_md3_msl1, champion_one_team_sparse, 48.67, 0.53879, 0.55794, 0.53595, 0.54803, 0.53143, 0.54427
       lol, gbdt_ntree200_lr0.01_md3_msl1, champion_one_team_sparse, 40.67, 0.53028, 0.54757, 0.52935, 0.54126, 0.52689, 0.53848
       lol, gbdt_ntree200_lr0.1_md6_msl1, champion_one_team_sparse, 94.00, 0.62701, 0.68340, 0.54042, 0.55376, 0.53463, 0.54982
       lol, gbdt_ntree200_lr0.05_md6_msl1, champion_one_team_sparse, 97.33, 0.59785, 0.64450, 0.54336, 0.55564, 0.53549, 0.55064
       lol, gbdt_ntree200_lr0.02_md6_msl1, champion_one_team_sparse, 97.33, 0.57088, 0.60623, 0.53812, 0.55178, 0.53479, 0.54773
       lol, gbdt_ntree200_lr0.01_md6_msl1, champion_one_team_sparse, 98.00, 0.55376, 0.58346, 0.53538, 0.54738, 0.53085, 0.54283
       lol, gbdt_ntree200_lr0.1_md10_msl1, champion_one_team_sparse, 231.67, 0.79354, 0.88288, 0.53235, 0.54429, 0.52876, 0.54095
       lol, gbdt_ntree200_lr0.05_md10_msl1, champion_one_team_sparse, 226.67, 0.72294, 0.80903, 0.53504, 0.54838, 0.53296, 0.54368
       lol, gbdt_ntree200_lr0.02_md10_msl1, champion_one_team_sparse, 249.33, 0.65221, 0.72324, 0.53711, 0.54920, 0.53181, 0.54316
       lol, gbdt_ntree200_lr0.01_md10_msl1, champion_one_team_sparse, 263.67, 0.61113, 0.66990, 0.53415, 0.54691, 0.53085, 0.54153
       lol, gbdt_ntree200_lr0.1_md3_msl3, champion_one_team_sparse, 41.67, 0.55885, 0.58594, 0.54472, 0.55903, 0.53875, 0.55551
       lol, gbdt_ntree200_lr0.05_md3_msl3, champion_one_team_sparse, 38.67, 0.54995, 0.57323, 0.54182, 0.55594, 0.53758, 0.55185
       lol, gbdt_ntree200_lr0.02_md3_msl3, champion_one_team_sparse, 41.33, 0.53870, 0.55795, 0.53622, 0.54812, 0.53223, 0.54454
       lol, gbdt_ntree200_lr0.01_md3_msl3, champion_one_team_sparse, 40.33, 0.53044, 0.54756, 0.52953, 0.54136, 0.52678, 0.53852
       lol, gbdt_ntree200_lr0.1_md6_msl3, champion_one_team_sparse, 87.67, 0.62099, 0.67505, 0.53895, 0.55491, 0.53627, 0.55165
       lol, gbdt_ntree200_lr0.05_md6_msl3, champion_one_team_sparse, 90.00, 0.59475, 0.63923, 0.54227, 0.55638, 0.53507, 0.55093
       lol, gbdt_ntree200_lr0.02_md6_msl3, champion_one_team_sparse, 93.33, 0.56883, 0.60290, 0.53775, 0.55150, 0.53547, 0.54844
       lol, gbdt_ntree200_lr0.01_md6_msl3, champion_one_team_sparse, 89.67, 0.55260, 0.58158, 0.53450, 0.54687, 0.53132, 0.54278
       lol, gbdt_ntree200_lr0.1_md10_msl3, champion_one_team_sparse, 211.00, 0.76327, 0.85057, 0.53593, 0.54701, 0.53096, 0.54227
       lol, gbdt_ntree200_lr0.05_md10_msl3, champion_one_team_sparse, 210.33, 0.69868, 0.77832, 0.53767, 0.55106, 0.53168, 0.54422
       lol, gbdt_ntree200_lr0.02_md10_msl3, champion_one_team_sparse, 222.00, 0.63715, 0.70158, 0.53887, 0.55027, 0.53398, 0.54547
       lol, gbdt_ntree200_lr0.01_md10_msl3, champion_one_team_sparse, 225.67, 0.60168, 0.65510, 0.53483, 0.54638, 0.53080, 0.54261
       lol, gbdt_ntree200_lr0.1_md3_msl5, champion_one_team_sparse, 37.67, 0.55846, 0.58552, 0.54350, 0.55825, 0.53977, 0.55612
       lol, gbdt_ntree200_lr0.05_md3_msl5, champion_one_team_sparse, 37.00, 0.55020, 0.57319, 0.54115, 0.55485, 0.53753, 0.55264
       lol, gbdt_ntree200_lr0.02_md3_msl5, champion_one_team_sparse, 38.67, 0.53883, 0.55802, 0.53619, 0.54810, 0.53179, 0.54437
       lol, gbdt_ntree200_lr0.01_md3_msl5, champion_one_team_sparse, 39.33, 0.53022, 0.54765, 0.52951, 0.54131, 0.52673, 0.53837
       lol, gbdt_ntree200_lr0.1_md6_msl5, champion_one_team_sparse, 89.67, 0.61551, 0.66771, 0.54018, 0.55387, 0.53716, 0.55041
       lol, gbdt_ntree200_lr0.05_md6_msl5, champion_one_team_sparse, 87.33, 0.59075, 0.63357, 0.54152, 0.55513, 0.53722, 0.55156
       lol, gbdt_ntree200_lr0.02_md6_msl5, champion_one_team_sparse, 90.33, 0.56665, 0.59988, 0.53797, 0.55229, 0.53521, 0.54803
       lol, gbdt_ntree200_lr0.01_md6_msl5, champion_one_team_sparse, 91.67, 0.55156, 0.57929, 0.53510, 0.54726, 0.53171, 0.54333
       lol, gbdt_ntree200_lr0.1_md10_msl5, champion_one_team_sparse, 200.00, 0.73870, 0.82412, 0.53379, 0.54575, 0.53182, 0.54252
       lol, gbdt_ntree200_lr0.05_md10_msl5, champion_one_team_sparse, 205.00, 0.68104, 0.75576, 0.53878, 0.54990, 0.53198, 0.54563
       lol, gbdt_ntree200_lr0.02_md10_msl5, champion_one_team_sparse, 221.67, 0.62562, 0.68559, 0.53960, 0.55156, 0.53229, 0.54510
       lol, gbdt_ntree200_lr0.01_md10_msl5, champion_one_team_sparse, 230.67, 0.59363, 0.64324, 0.53577, 0.54839, 0.53142, 0.54256
       lol, gbdt_ntree200_lr0.1_md3_msl10, champion_one_team_sparse, 44.33, 0.55811, 0.58469, 0.54310, 0.55840, 0.53909, 0.55540
       lol, gbdt_ntree200_lr0.05_md3_msl10, champion_one_team_sparse, 49.67, 0.54954, 0.57237, 0.54161, 0.55497, 0.53800, 0.55172
       lol, gbdt_ntree200_lr0.02_md3_msl10, champion_one_team_sparse, 49.33, 0.53844, 0.55773, 0.53588, 0.54788, 0.53145, 0.54405
       lol, gbdt_ntree200_lr0.01_md3_msl10, champion_one_team_sparse, 42.33, 0.53004, 0.54730, 0.52962, 0.54113, 0.52705, 0.53863
       lol, gbdt_ntree200_lr0.1_md6_msl10, champion_one_team_sparse, 96.67, 0.60781, 0.65567, 0.54091, 0.55621, 0.53755, 0.55263
       lol, gbdt_ntree200_lr0.05_md6_msl10, champion_one_team_sparse, 112.00, 0.58592, 0.62597, 0.54285, 0.55684, 0.53592, 0.55103
       lol, gbdt_ntree200_lr0.02_md6_msl10, champion_one_team_sparse, 105.00, 0.56417, 0.59558, 0.53796, 0.55215, 0.53510, 0.54843
       lol, gbdt_ntree200_lr0.01_md6_msl10, champion_one_team_sparse, 95.00, 0.54953, 0.57650, 0.53491, 0.54731, 0.53122, 0.54328
       lol, gbdt_ntree200_lr0.1_md10_msl10, champion_one_team_sparse, 212.33, 0.70617, 0.78352, 0.53549, 0.54730, 0.53215, 0.54592
       lol, gbdt_ntree200_lr0.05_md10_msl10, champion_one_team_sparse, 216.00, 0.65689, 0.72279, 0.53904, 0.55158, 0.53591, 0.54875
       lol, gbdt_ntree200_lr0.02_md10_msl10, champion_one_team_sparse, 220.67, 0.61151, 0.66371, 0.53841, 0.55135, 0.53442, 0.54781
       lol, gbdt_ntree200_lr0.01_md10_msl10, champion_one_team_sparse, 234.33, 0.58464, 0.62854, 0.53593, 0.54781, 0.53320, 0.54469
       lol, gbdt_ntree300_lr0.1_md3_msl1, champion_one_team_sparse, 64.67, 0.56551, 0.59516, 0.54493, 0.56049, 0.53852, 0.55610
       lol, gbdt_ntree300_lr0.05_md3_msl1, champion_one_team_sparse, 58.33, 0.55524, 0.58053, 0.54357, 0.55802, 0.53717, 0.55431
       lol, gbdt_ntree300_lr0.02_md3_msl1, champion_one_team_sparse, 60.33, 0.54393, 0.56460, 0.53964, 0.55181, 0.53571, 0.54832
       lol, gbdt_ntree300_lr0.01_md3_msl1, champion_one_team_sparse, 58.33, 0.53446, 0.55384, 0.53253, 0.54565, 0.53049, 0.54246
       lol, gbdt_ntree300_lr0.1_md6_msl1, champion_one_team_sparse, 137.67, 0.65155, 0.71573, 0.54060, 0.55392, 0.53742, 0.55095
       lol, gbdt_ntree300_lr0.05_md6_msl1, champion_one_team_sparse, 136.67, 0.61512, 0.66761, 0.54127, 0.55602, 0.53683, 0.55161
       lol, gbdt_ntree300_lr0.02_md6_msl1, champion_one_team_sparse, 139.67, 0.58177, 0.62176, 0.54010, 0.55464, 0.53438, 0.55021
       lol, gbdt_ntree300_lr0.01_md6_msl1, champion_one_team_sparse, 140.00, 0.56306, 0.59624, 0.53651, 0.55011, 0.53422, 0.54629
       lol, gbdt_ntree300_lr0.1_md10_msl1, champion_one_team_sparse, 339.33, 0.84979, 0.93190, 0.53095, 0.54220, 0.52733, 0.53973
       lol, gbdt_ntree300_lr0.05_md10_msl1, champion_one_team_sparse, 345.33, 0.76667, 0.85647, 0.53420, 0.54761, 0.53241, 0.54233
       lol, gbdt_ntree300_lr0.02_md10_msl1, champion_one_team_sparse, 365.33, 0.68143, 0.75933, 0.53809, 0.54951, 0.53132, 0.54431
       lol, gbdt_ntree300_lr0.01_md10_msl1, champion_one_team_sparse, 370.33, 0.63451, 0.69997, 0.53768, 0.54814, 0.53148, 0.54348
       lol, gbdt_ntree300_lr0.1_md3_msl3, champion_one_team_sparse, 60.33, 0.56483, 0.59460, 0.54488, 0.56039, 0.53907, 0.55616
       lol, gbdt_ntree300_lr0.05_md3_msl3, champion_one_team_sparse, 63.00, 0.55518, 0.58063, 0.54378, 0.55816, 0.53794, 0.55418
       lol, gbdt_ntree300_lr0.02_md3_msl3, champion_one_team_sparse, 57.67, 0.54413, 0.56471, 0.53872, 0.55199, 0.53589, 0.54850
       lol, gbdt_ntree300_lr0.01_md3_msl3, champion_one_team_sparse, 60.67, 0.53465, 0.55398, 0.53275, 0.54584, 0.53036, 0.54254
       lol, gbdt_ntree300_lr0.1_md6_msl3, champion_one_team_sparse, 130.33, 0.64357, 0.70442, 0.54152, 0.55468, 0.53669, 0.55048
       lol, gbdt_ntree300_lr0.05_md6_msl3, champion_one_team_sparse, 140.67, 0.61050, 0.66061, 0.54097, 0.55705, 0.53604, 0.55155
       lol, gbdt_ntree300_lr0.02_md6_msl3, champion_one_team_sparse, 125.67, 0.57906, 0.61764, 0.53951, 0.55394, 0.53575, 0.55072
       lol, gbdt_ntree300_lr0.01_md6_msl3, champion_one_team_sparse, 140.67, 0.56207, 0.59382, 0.53601, 0.54972, 0.53232, 0.54586
       lol, gbdt_ntree300_lr0.1_md10_msl3, champion_one_team_sparse, 320.00, 0.81655, 0.90314, 0.53523, 0.54466, 0.53176, 0.54207
       lol, gbdt_ntree300_lr0.05_md10_msl3, champion_one_team_sparse, 317.33, 0.73808, 0.82355, 0.53520, 0.54818, 0.53369, 0.54474
       lol, gbdt_ntree300_lr0.02_md10_msl3, champion_one_team_sparse, 337.33, 0.66371, 0.73453, 0.53913, 0.55085, 0.53333, 0.54602
       lol, gbdt_ntree300_lr0.01_md10_msl3, champion_one_team_sparse, 348.67, 0.62125, 0.68053, 0.53823, 0.54827, 0.53187, 0.54378
       lol, gbdt_ntree300_lr0.1_md3_msl5, champion_one_team_sparse, 59.67, 0.56480, 0.59390, 0.54358, 0.56021, 0.54029, 0.55712
       lol, gbdt_ntree300_lr0.05_md3_msl5, champion_one_team_sparse, 59.33, 0.55509, 0.58032, 0.54412, 0.55756, 0.53876, 0.55474
       lol, gbdt_ntree300_lr0.02_md3_msl5, champion_one_team_sparse, 62.00, 0.54370, 0.56456, 0.53857, 0.55183, 0.53594, 0.54839
       lol, gbdt_ntree300_lr0.01_md3_msl5, champion_one_team_sparse, 60.00, 0.53464, 0.55381, 0.53272, 0.54601, 0.52920, 0.54252
